timestamp,city,latitude,longitude,season,temperature_c,humidity_pct,wind_speed_kmh,pm25,pm10,no2_ppb,o3_ppb,aqi,air_quality_category,station_id
2020-01-01 00:00:00,Paris,48.859546460490655,2.3306231868927747,Winter,30.5,83.8,19.7,24.52,161.37,42.4,9.1,86,Unhealthy,STN-864
2020-01-01 06:00:00,São Paulo,-23.604860215369428,-46.595122260768946,Winter,25.6,56.4,19.0,18.38,67.76,10.3,38.2,242,Unhealthy,STN-638
2020-01-01 12:00:00,Tokyo,35.639063069502896,139.63049555694897,Winter,24.1,73.5,2.0,19.99,28.58,21.4,18.1,30,Unhealthy,STN-826
2020-01-01 18:00:00,New York,40.63980421280999,-73.98599359774244,Winter,-8.5,,0.5,65.09,30.08,34.1,54.9,308,Moderate,STN-938
2020-01-02 00:00:00,New York,40.694090086665376,-73.99321348994623,Winter,8.4,59.6,7.2,24.87,108.94,18.1,22.4,252,Good,STN-810
2020-01-02 06:00:00,Cairo,30.117771690031898,31.181955592947798,Winter,-11.2,42.6,9.6,53.14,30.24,50.6,82.9,331,Unhealthy,STN-394
2020-01-02 12:00:00,Cairo,30.10381482631068,31.303704610490364,Winter,7.6,42.7,8.7,30.29,31.73,26.1,57.1,130,Unhealthy for Sensitive,STN-662
2020-01-02 18:00:00,São Paulo,-23.52717806916428,-46.64335157054743,Winter,26.6,30.3,1.3,46.86,132.39,33.6,31.4,327,Good,STN-677
2020-01-03 00:00:00,Cairo,29.98519180637111,31.265840701572994,Winter,12.3,67.9,11.5,36.93,18.74,31.8,39.0,235,Moderate,STN-937
2020-01-03 06:00:00,Lagos,6.523863626765282,3.3588533970111247,Winter,15.9,51.3,15.0,119.95,79.54,43.3,23.1,35,Good,STN-441
2020-01-03 12:00:00,São Paulo,-23.531707499566828,-46.6451790342667,Winter,28.0,68.2,21.3,13.73,42.14,20.8,46.6,135,Moderate,STN-136
2020-01-03 18:00:00,Lagos,6.500879807910515,3.3439886575410913,Winter,20.1,79.0,28.7,,34.02,5.0,41.0,111,Unhealthy,STN-478
2020-01-04 00:00:00,Cairo,30.09532801744263,31.23003345180949,Winter,35.2,86.7,16.3,20.82,20.89,26.3,69.7,26,Moderate,STN-174
2020-01-04 06:00:00,Tokyo,35.59784878524582,139.6161559784688,Winter,16.0,43.8,5.1,,53.6,47.8,83.7,66,Moderate,STN-341
2020-01-04 12:00:00,Paris,48.876899890729234,2.3353990377379885,Winter,24.6,56.7,18.2,38.27,51.46,21.3,73.3,10,Moderate,STN-653
2020-01-04 18:00:00,Beijing,39.951548386235665,116.3436825329605,Winter,16.6,41.9,32.8,7.7,12.28,31.7,56.8,323,Good,STN-616
2020-01-05 00:00:00,Cairo,30.06755699069852,31.236961280938907,Winter,27.2,66.7,24.5,45.69,55.55,25.5,22.0,286,Good,STN-161
2020-01-05 06:00:00,Beijing,39.921176764375026,116.4637465620146,Winter,41.0,,7.7,46.25,19.8,14.0,34.6,330,Good,STN-163
2020-01-05 12:00:00,Cairo,30.008797023186496,31.252726092363194,Winter,49.0,78.9,32.0,16.26,42.06,8.0,54.6,265,Good,STN-858
2020-01-05 18:00:00,Tokyo,35.664772653675755,139.62050185932563,Winter,20.3,53.9,13.6,14.59,76.84,24.1,24.4,297,Moderate,STN-949
2020-01-06 00:00:00,New York,40.72098844695428,-73.93690226902247,Winter,3.0,17.8,15.5,13.89,19.71,7.8,21.9,100,Good,STN-738
2020-01-06 06:00:00,Sydney,-33.93258057207809,151.19667154155536,Winter,12.1,59.2,25.2,5.95,51.68,40.9,75.1,265,Moderate,STN-859
2020-01-06 12:00:00,Lagos,6.6460783720890175,3.372403411590761,Winter,12.4,84.0,13.6,28.4,20.4,30.7,32.2,274,Moderate,STN-780
2020-01-06 18:00:00,Lagos,6.507180098084651,3.430743548793335,Winter,12.6,81.5,16.8,21.97,52.93,15.4,4.7,219,Hazardous,STN-173
2020-01-07 00:00:00,Cairo,30.09375093581617,31.178995653527046,Winter,14.2,37.1,21.9,72.68,99.25,27.1,88.0,120,Good,STN-348
2020-01-07 06:00:00,Sydney,-33.824611030443116,151.22277748510467,Winter,20.0,96.5,0.0,48.31,58.22,20.8,7.0,61,Good,STN-199
2020-01-07 12:00:00,Beijing,39.894945265071534,116.42308151943038,Winter,4.5,86.2,18.2,23.06,65.3,32.8,42.6,68,Unhealthy,STN-354
2020-01-07 18:00:00,Beijing,39.86964023817287,116.44535493796839,Winter,18.1,60.0,17.3,22.99,38.75,34.4,74.3,62,Good,STN-872
2020-01-08 00:00:00,London,51.50842808815888,-0.12766629785392494,Winter,27.9,82.7,19.3,172.24,48.0,49.8,63.4,187,Unhealthy,STN-869
2020-01-08 06:00:00,Lagos,6.520400757435281,3.3488110756194613,Winter,10.2,58.0,22.5,51.62,78.33,36.5,15.8,285,Good,STN-355
2020-01-08 12:00:00,São Paulo,-23.523660817879936,-46.66788486018028,Winter,21.5,75.6,12.4,17.93,60.01,12.4,80.2,159,Good,STN-530
2020-01-08 18:00:00,Tokyo,35.59110091251128,139.68654085990295,Winter,20.5,55.9,15.2,30.62,63.44,14.5,9.6,285,Moderate,STN-115
2020-01-09 00:00:00,Paris,48.80281925847661,2.357277327760051,Winter,30.4,25.1,9.6,82.64,40.52,30.3,81.1,241,Good,STN-548
2020-01-09 06:00:00,São Paulo,-23.520728969554053,-46.5463945973884,Winter,25.6,61.1,3.6,12.22,55.72,27.6,37.7,206,Unhealthy for Sensitive,STN-960
2020-01-09 12:00:00,Cairo,30.04127980060672,31.22603404396963,Winter,2.4,39.4,33.9,29.85,100.25,16.4,17.7,346,Moderate,STN-595
2020-01-09 18:00:00,New York,40.76231408624273,-74.02274865814888,Winter,14.5,83.5,23.3,54.34,18.07,36.5,40.6,161,Unhealthy,STN-499
2020-01-10 00:00:00,New York,40.668544903166215,-74.05847906581207,Winter,24.4,85.5,13.6,22.09,28.52,29.9,12.0,257,Unhealthy for Sensitive,STN-948
2020-01-10 06:00:00,Lagos,6.509717534008795,3.334914258564052,Winter,26.7,34.4,18.7,,67.49,35.0,53.2,235,Moderate,STN-415
2020-01-10 12:00:00,New York,40.74739619213893,-73.97210616283013,Winter,14.3,59.2,19.3,10.89,90.67,29.7,43.6,133,Unhealthy for Sensitive,STN-727
2020-01-10 18:00:00,Beijing,39.903267448710466,116.40425514416131,Winter,22.5,64.7,5.1,89.73,76.1,14.2,87.6,168,Moderate,STN-232
2020-01-11 00:00:00,Delhi,28.694074424434028,77.1745494470574,Winter,23.0,,1.8,10.04,74.45,29.0,71.0,184,Good,STN-801
2020-01-11 06:00:00,Beijing,40.07067890569553,116.37752959365173,Winter,5.8,19.0,15.4,5.63,216.63,6.2,51.0,41,Good,STN-801
2020-01-11 12:00:00,Beijing,39.935367433780115,116.43265400580646,Winter,26.8,61.5,2.8,65.78,35.13,40.9,50.5,327,Hazardous,STN-869
2020-01-11 18:00:00,Tokyo,35.71890527448839,139.4863851406696,Winter,10.0,33.7,37.5,16.3,14.98,44.6,30.8,55,Unhealthy for Sensitive,STN-546
2020-01-12 00:00:00,Cairo,30.09254407723979,31.23134268213821,Winter,28.8,48.3,14.0,25.05,17.52,17.7,64.1,136,Unhealthy for Sensitive,STN-130
2020-01-12 06:00:00,Cairo,30.108468854015797,31.15129667696821,Winter,-3.6,36.2,17.7,23.55,13.35,16.9,27.9,310,Unhealthy for Sensitive,STN-205
2020-01-12 12:00:00,São Paulo,-23.62495135663259,-46.60865851979412,Winter,20.1,34.6,5.0,30.83,36.24,26.8,58.5,230,Unhealthy,STN-227
2020-01-12 18:00:00,New York,40.756259736336965,-74.08809669164961,Winter,27.8,,10.5,20.97,36.84,6.2,65.4,275,Hazardous,STN-408
2020-01-13 00:00:00,Beijing,39.83432097553755,116.41594723218103,Winter,11.8,61.4,5.8,16.78,62.2,20.5,26.2,161,Good,STN-495
2020-01-13 06:00:00,Cairo,30.143595125197578,31.189138993987246,Winter,23.3,44.7,15.4,35.93,31.31,15.4,36.5,312,Good,STN-839
2020-01-13 12:00:00,Cairo,30.03082777807279,31.229653525537845,Winter,27.6,86.3,7.4,5.49,21.06,16.8,64.4,128,Unhealthy,STN-716
2020-01-13 18:00:00,Cairo,30.05008138440239,31.304743827959687,Winter,2.2,49.3,15.1,98.73,29.91,20.7,21.3,227,Unhealthy,STN-601
2020-01-14 00:00:00,Beijing,39.80103452791239,116.37991620721117,Winter,41.9,100.0,24.5,39.54,85.22,10.3,44.9,266,Good,STN-488
2020-01-14 06:00:00,Sydney,-33.87930245002535,151.27891802280175,Winter,26.7,55.7,14.7,8.13,19.09,47.5,36.4,54,Moderate,STN-253
2020-01-14 12:00:00,Paris,48.88183648061004,2.3861926834745875,Winter,17.9,45.2,6.2,30.72,28.26,,33.0,82,Unhealthy for Sensitive,STN-500
2020-01-14 18:00:00,New York,40.67881476043514,-74.04879155294607,Winter,49.1,,17.3,35.23,55.45,25.6,25.5,300,Moderate,STN-210
2020-01-15 00:00:00,Delhi,28.63074010500425,77.11925551629034,Winter,17.9,64.2,3.7,33.76,86.98,40.6,11.8,287,Good,STN-935
2020-01-15 06:00:00,New York,40.705634483499374,-74.00851790509026,Winter,16.9,70.4,5.2,7.51,14.81,26.3,1.1,136,Moderate,STN-920
